Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,Conc B,,Fraction,,Injection,,
ml,mAU,ml,%,ml,Fraction,ml,Injection,
0.005,39.72664,0.01,0,14.00569,"2",13.99653,"",
0.009,79.19788,0.033,0,24.00588,"3",14.02415,"",
0.014,85.49903,0.056,0,25.02363,"Waste",,,
0.019,70.77444,0.08,0,25.73004,"5",,,
0.023,64.76852,0.103,0,35.72964,"6",,,
0.028,60.13199,0.127,0,45.7303,"7",,,
0.033,56.83637,0.15,0,48.33082,"Waste",,,
0.037,56.83979,0.173,0,49.03863,"9",,,
0.042,57.40122,0.197,0,51.03861,"10",,,
0.047,57.87036,0.22,0,53.03873,"11",,,
0.051,58.27156,0.243,0,55.03874,"12",,,
0.056,58.5815,0.267,0,57.03889,"13",,,
0.061,58.81179,0.29,0,59.03856,"14",,,
0.065,59.00917,0.314,0,61.03883,"15",,,
0.07,59.176,0.337,0,63.04084,"16",,,
0.075,59.30584,0.36,0,65.04068,"17",,,
0.079,59.40895,0.384,0,67.04076,"18",,,
0.084,59.48154,0.407,0,69.04067,"19",,,
0.089,59.52846,0.43,0,71.04084,"20",,,
0.093,59.55385,0.454,0,73.04048,"21",,,
0.098,59.59827,0.477,0,75.04243,"22",,,
0.103,59.70115,0.501,0,77.04234,"23",,,
0.107,59.83273,0.524,0,79.04227,"24",,,
0.112,59.97138,0.547,0,81.04242,"25",,,
0.117,60.1103,0.571,0,83.04224,"26",,,
0.121,60.25441,0.594,0,85.04227,"27",,,
0.126,60.3901,0.618,0,87.04225,"28",,,
0.131,60.49185,0.641,0,89.04415,"29",,,
0.135,60.57564,0.664,0,91.0439,"30",,,
0.14,60.64966,0.688,0,93.04401,"31",,,
0.145,60.70859,0.711,0,95.04421,"32",,,
0.149,60.76682,0.734,0,97.04382,"33",,,
0.154,60.82272,0.758,0,99.04585,"34",,,
0.159,60.85569,0.781,0,101.0458,"35",,,
0.164,60.86913,0.805,0,103.0458,"36",,,
0.168,60.88108,0.828,0,105.0458,"37",,,
0.173,60.88831,0.851,0,107.0455,"38",,,
0.178,60.89957,0.875,0,109.0475,"39",,,
0.182,60.90984,0.898,0,111.0477,"40",,,
0.187,60.91255,0.922,0,113.0474,"41",,,
0.192,60.90907,0.945,0,115.0476,"42",,,
0.196,60.91064,0.968,0,117.0473,"43",,,
0.201,60.92879,0.992,0,119.0474,"44",,,
0.206,60.93758,1.015,0,121.0494,"45",,,
0.21,60.94151,1.038,0,123.0494,"46",,,
0.215,60.94725,1.062,0,125.049,"47",,,
0.22,60.9524,1.085,0,127.049,"48",,,
0.224,60.97171,1.109,0,129.0489,"49",,,
0.229,60.99166,1.132,0,131.049,"50",,,
0.234,61.00401,1.155,0,133.0509,"51",,,
0.238,61.00747,1.179,0,135.0507,"52",,,
0.243,61.01311,1.202,0,137.0507,"53",,,
0.248,61.02296,1.225,0,139.0507,"54",,,
0.252,61.01853,1.249,0,141.0506,"55",,,
0.257,61.01898,1.272,0,143.0507,"56",,,
0.262,61.0404,1.296,0,145.0525,"57",,,
0.266,61.06867,1.319,0,147.0524,"58",,,
0.271,61.09401,1.342,0,149.0526,"59",,,
0.276,61.12729,1.366,0,151.0525,"60",,,
0.28,61.15105,1.389,0,153.0523,"61",,,
0.285,61.17878,1.413,0,155.0525,"62",,,
0.29,61.21446,1.436,0,157.0544,"63",,,
0.294,61.24628,1.459,0,159.0543,"64",,,
0.299,61.27675,1.483,0,161.0544,"65",,,
0.304,61.30099,1.506,0,163.0542,"66",,,
0.308,61.32576,1.529,0,164.8141,"Waste",,,
0.313,61.34632,1.553,0,165.5467,"Waste",,,
0.318,61.36428,1.576,0,,,,,
0.323,61.37919,1.6,0,,,,,
0.327,61.38711,1.623,0,,,,,
0.332,61.3996,1.646,0,,,,,
0.337,61.40821,1.67,0,,,,,
0.341,61.41719,1.693,0,,,,,
0.346,61.4216,1.717,0,,,,,
0.351,61.42444,1.74,0,,,,,
0.355,61.43909,1.763,0,,,,,
0.36,61.44984,1.787,0,,,,,
0.365,61.91867,1.81,0,,,,,
0.369,63.52646,1.833,0,,,,,
0.374,63.62159,1.857,0,,,,,
0.379,63.69061,1.88,0,,,,,
0.383,63.72283,1.904,0,,,,,
0.388,63.76734,1.927,0,,,,,
0.393,63.79586,1.95,0,,,,,
0.397,63.81708,1.974,0,,,,,
0.402,63.84387,1.997,0,,,,,
0.407,63.87165,2.02,0,,,,,
0.411,63.8947,2.044,0,,,,,
0.416,63.91523,2.067,0,,,,,
0.421,63.93485,2.091,0,,,,,
0.425,63.93887,2.114,0,,,,,
0.43,63.93656,2.137,0,,,,,
0.435,63.91912,2.161,0,,,,,
0.439,63.90597,2.184,0,,,,,
0.444,63.88214,2.208,0,,,,,
0.449,63.85185,2.231,0,,,,,
0.453,63.81723,2.254,0,,,,,
0.458,63.79677,2.278,0,,,,,
0.463,63.76431,2.301,0,,,,,
0.467,63.72532,2.324,0,,,,,
0.472,63.67678,2.348,0,,,,,
0.477,63.63072,2.371,0,,,,,
0.482,63.58812,2.395,0,,,,,
0.486,63.53495,2.418,0,,,,,
0.491,63.49098,2.441,0,,,,,
0.496,63.44455,2.465,0,,,,,
0.5,63.39597,2.488,0,,,,,
0.505,63.35733,2.512,0,,,,,
0.51,63.31952,2.535,0,,,,,
0.514,63.28725,2.558,0,,,,,
0.519,63.24828,2.582,0,,,,,
0.524,63.20634,2.605,0,,,,,
0.528,63.1701,2.628,0,,,,,
0.533,63.13977,2.652,0,,,,,
0.538,63.09275,2.675,0,,,,,
0.542,63.04752,2.699,0,,,,,
0.547,63.0134,2.722,0,,,,,
0.552,62.97688,2.745,0,,,,,
0.556,62.92223,2.769,0,,,,,
0.561,62.86116,2.792,0,,,,,
0.566,62.81024,2.815,0,,,,,
0.57,62.76906,2.839,0,,,,,
0.575,62.74014,2.862,0,,,,,
0.58,62.69577,2.886,0,,,,,
0.584,62.65229,2.909,0,,,,,
0.589,62.59494,2.932,0,,,,,
0.594,62.53679,2.956,0,,,,,
0.598,62.46205,2.979,0,,,,,
0.603,62.37022,3.003,0,,,,,
0.608,62.26757,3.026,0,,,,,
0.612,62.16427,3.049,0,,,,,
0.617,62.04999,3.073,0,,,,,
0.622,61.94876,3.096,0,,,,,
0.626,61.82652,3.119,0,,,,,
0.631,61.70761,3.143,0,,,,,
0.636,61.59641,3.166,0,,,,,
0.641,61.50342,3.19,0,,,,,
0.645,61.40638,3.213,0,,,,,
0.65,61.31654,3.236,0,,,,,
0.655,61.23778,3.26,0,,,,,
0.659,61.16504,3.283,0,,,,,
0.664,61.09557,3.307,0,,,,,
0.669,61.02934,3.33,0,,,,,
0.673,60.95377,3.353,0,,,,,
0.678,60.89645,3.377,0,,,,,
0.683,60.8471,3.4,0,,,,,
0.687,60.80699,3.423,0,,,,,
0.692,60.78012,3.447,0,,,,,
0.697,60.76858,3.47,0,,,,,
0.701,60.77456,3.494,0,,,,,
0.706,60.80252,3.517,0,,,,,
0.711,60.82094,3.54,0,,,,,
0.715,60.86276,3.564,0,,,,,
0.72,60.90874,3.587,0,,,,,
0.725,60.95312,3.611,0,,,,,
0.729,60.99696,3.634,0,,,,,
0.734,61.052,3.657,0,,,,,
0.739,61.0968,3.681,0,,,,,
0.743,61.13742,3.704,0,,,,,
0.748,61.1861,3.727,0,,,,,
0.753,61.22736,3.751,0,,,,,
0.757,61.26841,3.774,0,,,,,
0.762,61.31747,3.798,0,,,,,
0.767,61.36344,3.821,0,,,,,
0.771,61.41155,3.844,0,,,,,
0.776,61.44986,3.868,0,,,,,
0.781,61.4756,3.891,0,,,,,
0.785,61.50357,3.914,0,,,,,
0.79,61.52886,3.938,0,,,,,
0.795,61.55293,3.961,0,,,,,
0.8,61.57014,3.985,0,,,,,
0.804,61.57986,4.008,0,,,,,
0.809,61.59342,4.031,0,,,,,
0.814,61.60507,4.055,0,,,,,
0.818,61.61245,4.078,0,,,,,
0.823,61.62422,4.102,0,,,,,
0.828,61.63551,4.125,0,,,,,
0.832,61.64277,4.148,0,,,,,
0.837,61.64737,4.172,0,,,,,
0.842,61.6586,4.195,0,,,,,
0.846,61.66317,4.218,0,,,,,
0.851,61.6706,4.242,0,,,,,
0.856,61.67537,4.265,0,,,,,
0.86,61.6899,4.289,0,,,,,
0.865,61.69808,4.312,0,,,,,
0.87,61.69842,4.335,0,,,,,
0.874,61.69927,4.359,0,,,,,
0.879,61.70238,4.382,0,,,,,
0.884,61.70887,4.406,0,,,,,
0.888,61.70527,4.429,0,,,,,
0.893,61.69609,4.452,0,,,,,
0.898,61.69018,4.476,0,,,,,
0.902,61.69142,4.499,0,,,,,
0.907,61.69423,4.522,0,,,,,
0.912,61.68929,4.546,0,,,,,
0.916,61.68891,4.569,0,,,,,
0.921,61.68453,4.593,0,,,,,
0.926,61.68711,4.616,0,,,,,
0.93,61.7013,4.639,0,,,,,
0.935,61.70748,4.663,0,,,,,
0.94,61.71366,4.686,0,,,,,
0.944,61.71965,4.709,0,,,,,
0.949,61.72209,4.733,0,,,,,
0.954,61.72628,4.756,0,,,,,
0.959,61.72749,4.78,0,,,,,
0.963,61.72095,4.803,0,,,,,
0.968,61.72924,4.826,0,,,,,
0.973,61.73029,4.85,0,,,,,
0.977,61.74026,4.873,0,,,,,
0.982,61.75682,4.897,0,,,,,
0.987,61.7709,4.92,0,,,,,
0.991,61.78556,4.943,0,,,,,
0.996,61.80094,4.967,0,,,,,
1.001,61.81552,4.99,0,,,,,
1.005,61.82699,5.013,0,,,,,
1.01,61.83833,5.037,0,,,,,
1.015,61.84036,5.06,0,,,,,
1.019,61.85068,5.084,0,,,,,
1.024,61.86301,5.107,0,,,,,
1.029,61.86296,5.13,0,,,,,
1.033,61.86615,5.154,0,,,,,
1.038,61.87624,5.177,0,,,,,
1.043,61.88789,5.201,0,,,,,
1.047,61.8921,5.224,0,,,,,
1.052,61.90507,5.247,0,,,,,
1.057,61.91354,5.271,0,,,,,
1.061,61.92487,5.294,0,,,,,
1.066,61.92211,5.317,0,,,,,
1.071,61.92582,5.341,0,,,,,
1.075,61.93459,5.364,0,,,,,
1.08,61.93554,5.388,0,,,,,
1.085,61.93129,5.411,0,,,,,
1.089,61.93121,5.434,0,,,,,
1.094,61.93859,5.458,0,,,,,
1.099,61.92575,5.481,0,,,,,
1.103,61.91544,5.504,0,,,,,
1.108,61.90364,5.528,0,,,,,
1.113,61.89717,5.551,0,,,,,
1.117,61.89467,5.575,0,,,,,
1.122,61.88527,5.598,0,,,,,
1.127,61.88915,5.621,0,,,,,
1.132,61.88094,5.645,0,,,,,
1.136,61.87311,5.668,0,,,,,
1.141,61.8654,5.692,0,,,,,
1.146,61.86119,5.715,0,,,,,
1.15,61.85724,5.738,0,,,,,
1.155,61.85035,5.762,0,,,,,
1.16,61.84191,5.785,0,,,,,
