Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,Cond,,Fraction,,Injection,,
ml,mAU,ml,mS/cm,ml,Fraction,ml,Injection,
0.008,0.06350523,0.008,14.40772,5.441133,"2",5.409854,"",
0.022,132.6868,0.037,14.48921,7.438431,"3",5.453586,"",
0.037,384.9966,0.066,14.75032,9.438375,"4",,,
0.052,382.5797,0.095,14.75715,9.534043,"Waste",,,
0.066,325.9126,0.125,14.75695,10.26074,"6",,,
0.081,308.6615,0.154,14.7499,12.26111,"7",,,
0.096,310.6778,0.183,14.74641,14.26077,"8",,,
0.11,311.1913,0.213,14.74165,16.26048,"9",,,
0.125,310.6713,0.242,14.73003,18.26005,"10",,,
0.139,308.9185,0.271,14.71611,20.27635,"11",,,
0.154,304.5744,0.3,14.70423,22.27594,"12",,,
0.169,299.3499,0.33,14.70068,24.27564,"13",,,
0.183,294.7032,0.359,14.69865,26.27524,"14",,,
0.198,290.1172,0.388,14.69215,28.27489,"15",,,
0.213,284.9164,0.418,14.68238,30.29119,"16",,,
0.227,278.7692,0.447,14.66988,32.29082,"17",,,
0.242,272.5479,0.476,14.65181,34.29044,"18",,,
0.257,267.1327,0.505,14.63478,36.29007,"19",,,
0.271,261.4312,0.535,14.62262,38.28971,"20",,,
0.286,255.7967,0.564,14.58136,40.30601,"21",,,
0.301,250.2545,0.593,13.61825,42.30563,"22",,,
0.315,244.6375,0.622,14.13933,44.30525,"23",,,
0.33,239.4077,0.652,14.36219,46.3049,"24",,,
0.344,234.4384,0.681,14.45364,48.30455,"25",,,
0.359,229.656,0.71,14.48505,50.32085,"26",,,
0.374,225.0802,0.74,14.49028,50.88744,"Waste",,,
0.388,220.378,0.769,14.48471,51.7206,"Waste",,,
0.403,216.1048,0.798,14.47109,,,,,
0.418,212.0977,0.827,14.46113,,,,,
0.432,208.3604,0.857,14.45798,,,,,
0.447,207.3951,0.886,14.45002,,,,,
0.462,238.6253,0.915,14.4409,,,,,
0.476,231.6815,0.945,14.43275,,,,,
0.491,219.4902,0.974,14.42669,,,,,
0.506,208.2973,1.003,14.42217,,,,,
0.52,197.4407,1.032,14.42019,,,,,
0.535,186.978,1.062,14.41862,,,,,
0.549,177.0062,1.091,14.41717,,,,,
0.564,167.5015,1.12,14.41638,,,,,
0.579,158.153,1.15,14.41556,,,,,
0.593,148.9036,1.179,14.41561,,,,,
0.608,139.6289,1.208,14.41666,,,,,
0.623,130.5744,1.237,14.41884,,,,,
0.637,121.7293,1.267,14.42162,,,,,
0.652,112.9786,1.296,14.42437,,,,,
0.667,104.2664,1.325,14.42648,,,,,
0.681,95.70925,1.355,14.42694,,,,,
0.696,87.2339,1.384,14.42872,,,,,
0.711,79.77206,1.413,14.43029,,,,,
0.725,71.56913,1.442,14.43239,,,,,
0.74,63.37526,1.472,14.43407,,,,,
0.754,55.18201,1.501,14.4367,,,,,
0.769,47.10917,1.53,14.43882,,,,,
0.784,39.19718,1.56,14.44012,,,,,
0.798,31.22961,1.589,14.44106,,,,,
0.813,23.17812,1.618,14.44144,,,,,
0.828,15.10693,1.647,14.44181,,,,,
0.842,7.307219,1.677,14.44277,,,,,
0.857,-3.176377,1.706,14.44343,,,,,
0.872,-34.69561,1.735,14.44498,,,,,
0.886,-52.79362,1.765,14.44697,,,,,
0.901,-51.56478,1.794,14.44816,,,,,
0.916,-50.60389,1.823,14.44987,,,,,
0.93,-49.79892,1.852,14.45146,,,,,
0.945,-49.0579,1.882,14.45334,,,,,
0.959,-48.32301,1.911,14.45503,,,,,
0.974,-47.76547,1.94,14.45657,,,,,
0.989,-47.35138,1.97,14.45793,,,,,
1.003,-46.93403,1.999,14.45941,,,,,
1.018,-46.4497,2.028,14.46142,,,,,
1.033,-46.11522,2.057,14.4631,,,,,
1.047,-45.80835,2.087,14.46589,,,,,
1.062,-45.52827,2.116,14.4681,,,,,
1.077,-45.27755,2.145,14.47021,,,,,
1.091,-45.02958,2.175,14.47154,,,,,
1.106,-44.74747,2.204,14.47299,,,,,
1.12,-44.73925,2.233,14.47416,,,,,
1.135,-45.15656,2.262,14.4764,,,,,
1.15,-45.07797,2.292,14.47909,,,,,
1.164,-44.83461,2.321,14.48003,,,,,
1.179,-44.73011,2.35,14.48132,,,,,
1.194,-44.58592,2.379,14.48275,,,,,
1.208,-44.44486,2.409,14.48402,,,,,
1.223,-44.27908,2.438,14.485,,,,,
1.238,-44.15942,2.467,14.48595,,,,,
1.252,-44.01513,2.497,14.48565,,,,,
1.267,-43.96635,2.526,14.48621,,,,,
1.282,-43.93705,2.555,14.487,,,,,
1.296,-43.82152,2.584,14.48756,,,,,
1.311,-43.72949,2.614,14.48823,,,,,
1.325,-43.76818,2.643,14.48941,,,,,
1.34,-43.74337,2.672,14.49063,,,,,
1.355,-43.62535,2.702,14.49221,,,,,
1.369,-43.60367,2.731,14.49307,,,,,
1.384,-43.59452,2.76,14.49395,,,,,
1.399,-43.37463,2.789,14.49397,,,,,
1.413,-43.20937,2.819,14.49359,,,,,
1.428,-43.09387,2.848,14.49336,,,,,
1.443,-43.02569,2.877,14.49399,,,,,
1.457,-42.909,2.907,14.49487,,,,,
1.472,-42.83699,2.936,14.49595,,,,,
1.487,-42.73033,2.965,14.49631,,,,,
1.501,-42.56586,2.994,14.49781,,,,,
1.516,-42.45536,3.024,14.49936,,,,,
1.53,-42.27568,3.053,14.50165,,,,,
1.545,-42.17362,3.082,14.50317,,,,,
1.56,-42.0972,3.112,14.50409,,,,,
1.574,-41.99499,3.141,14.50445,,,,,
1.589,-41.92842,3.17,14.5055,,,,,
1.604,-41.82699,3.199,14.50661,,,,,
1.618,-41.82629,3.229,14.50851,,,,,
1.633,-41.71269,3.258,14.50898,,,,,
1.648,-41.61196,3.287,14.50965,,,,,
1.662,-41.57666,3.317,14.50952,,,,,
1.677,-41.49481,3.346,14.50968,,,,,
1.692,-41.43176,3.375,14.51033,,,,,
1.706,-41.30727,3.404,14.51007,,,,,
1.721,-41.21754,3.434,14.50955,,,,,
1.735,-41.12067,3.463,14.50926,,,,,
1.75,-40.9715,3.492,14.50976,,,,,
1.765,-40.92147,3.522,14.50999,,,,,
1.779,-40.84715,3.551,14.50984,,,,,
1.794,-40.69556,3.58,14.50985,,,,,
1.809,-40.6487,3.609,14.50956,,,,,
1.823,-40.54954,3.639,14.50927,,,,,
1.838,-40.50287,3.668,14.50872,,,,,
1.853,-40.41799,3.697,14.50875,,,,,
1.867,-40.35652,3.727,14.50879,,,,,
1.882,-40.26775,3.756,14.50926,,,,,
1.897,-40.15703,3.785,14.50983,,,,,
1.911,-40.13113,3.814,14.51087,,,,,
1.926,-40.09089,3.844,14.51198,,,,,
1.94,-40.12683,3.873,14.51295,,,,,
1.955,-40.14332,3.902,14.51385,,,,,
1.97,-40.16487,3.931,14.51465,,,,,
1.984,-40.08464,3.961,14.51499,,,,,
1.999,-40.07578,3.99,14.51605,,,,,
2.014,-40.04681,4.019,14.51671,,,,,
2.028,-39.99464,4.049,14.51674,,,,,
2.043,-39.94139,4.078,14.51695,,,,,
2.058,-39.90683,4.107,14.51752,,,,,
2.072,-39.86932,4.136,14.51819,,,,,
2.087,-39.83592,4.166,14.58111,,,,,
2.102,-39.7793,4.195,14.59077,,,,,
2.116,-39.73371,4.224,14.5836,,,,,
2.131,-39.75831,4.254,14.5768,,,,,
