Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,Cond,,Conc B,,Fraction,,Injection,,
ml,mAU,ml,mS/cm,ml,%,ml,Fraction,ml,Injection,
0.001,48.60826,0.001,6.696074,0.004,0,4.683113,"2",4.677379,"",
0.004,274.5621,0.004,4.393693,0.019,0,13.4945,"Waste",4.701831,"",
0.007,500.5159,0.007,2.091313,0.034,0,14.19929,"4",,,
0.01,571.1298,0.01,1.493736,0.049,0,24.19974,"5",,,
0.013,575.2779,0.013,1.493862,0.064,0,34.20022,"6",,,
0.016,579.1504,0.016,1.493963,0.079,0,36.79341,"Waste",,,
0.019,582.3926,0.019,1.493953,0.094,0,37.49797,"8",,,
0.022,585.1552,0.022,1.493912,0.109,0,39.49821,"9",,,
0.025,584.5222,0.025,1.493863,0.124,0,41.49935,"10",,,
0.028,583.3929,0.028,1.493854,0.139,0,43.49883,"11",,,
0.031,582.4095,0.031,1.493854,0.154,0,45.50001,"12",,,
0.034,581.2172,0.034,1.493838,0.169,0,47.4991,"13",,,
0.037,580.1535,0.037,1.493806,0.184,0,49.50036,"14",,,
0.04,579.1285,0.04,1.493753,0.199,0,51.50083,"15",,,
0.043,578.0695,0.043,1.493748,0.214,0,53.50068,"16",,,
0.046,577.056,0.046,1.493747,0.229,0,55.50105,"17",,,
0.049,576.324,0.049,1.493721,0.244,0,57.50154,"18",,,
0.052,575.751,0.052,1.493712,0.259,0,59.50051,"19",,,
0.055,575.2408,0.055,1.493713,0.274,0,61.50124,"20",,,
0.058,574.7039,0.058,1.493702,0.289,0,63.50174,"21",,,
0.061,574.0259,0.061,1.493662,0.304,0,65.50153,"22",,,
0.064,573.3173,0.064,1.493663,0.319,0,67.50212,"23",,,
0.067,572.6606,0.067,1.493647,0.334,0,69.5024,"24",,,
0.07,572.077,0.07,1.49363,0.349,0,71.50191,"25",,,
0.073,571.4573,0.073,1.493622,0.364,0,73.50208,"26",,,
0.076,570.839,0.076,1.493583,0.379,0,75.50378,"27",,,
0.079,570.2515,0.079,1.493574,0.394,0,77.50326,"28",,,
0.082,569.716,0.082,1.493574,0.409,0,79.50287,"29",,,
0.085,569.2817,0.085,1.49357,0.424,0,81.50327,"30",,,
0.088,568.867,0.088,1.493569,0.439,0,83.5042,"31",,,
0.091,568.4011,0.091,1.493545,0.454,0,85.50343,"32",,,
0.094,567.6683,0.094,1.493521,0.469,0,87.50414,"33",,,
0.097,566.8111,0.097,1.49351,0.484,0,89.50483,"34",,,
0.1,565.8438,0.1,1.49345,0.499,0,91.5053,"35",,,
0.103,564.783,0.103,1.493402,0.514,0,93.5057,"36",,,
0.106,563.7714,0.106,1.493371,0.529,0,95.50611,"37",,,
0.109,562.6841,0.109,1.493362,0.544,0,97.50522,"38",,,
0.112,561.5312,0.112,1.493376,0.559,0,99.50542,"39",,,
0.115,560.3234,0.115,1.493403,0.574,0,101.5063,"40",,,
0.118,559.1728,0.118,1.49341,0.59,0,103.5062,"41",,,
0.121,558.3412,0.121,1.493378,0.605,0,105.5062,"42",,,
0.124,557.6979,0.124,1.493367,0.62,0,107.5071,"43",,,
0.127,557.1499,0.127,1.493348,0.635,0,109.5068,"44",,,
0.13,556.8019,0.13,1.493319,0.65,0,111.5068,"45",,,
0.133,556.4738,0.133,1.49328,0.665,0,113.5083,"46",,,
0.136,556.1268,0.136,1.493249,0.68,0,115.5078,"47",,,
0.139,555.7441,0.139,1.493216,0.695,0,117.5085,"48",,,
0.142,555.5105,0.142,1.493187,0.71,0,119.5081,"49",,,
0.145,555.18,0.145,1.493165,0.725,0,121.5079,"50",,,
0.148,554.8368,0.148,1.493133,0.74,0,123.5081,"51",,,
0.151,554.5351,0.151,1.493106,0.755,0,124.3362,"Waste",,,
0.154,554.2323,0.154,1.493093,0.77,0,,,,,
0.157,553.9148,0.157,1.493094,0.785,0,,,,,
0.16,553.6439,0.16,1.493063,0.8,0,,,,,
0.163,553.4543,0.163,1.493062,0.815,0,,,,,
0.166,553.1699,0.166,1.493058,0.83,0,,,,,
0.169,552.9104,0.169,1.493029,0.845,0,,,,,
0.172,552.6913,0.172,1.49301,0.86,0,,,,,
0.175,552.5178,0.175,1.492999,0.875,0,,,,,
0.178,552.2754,0.178,1.493001,0.89,0,,,,,
0.181,552.059,0.181,1.493019,0.905,0,,,,,
0.184,551.8557,0.184,1.493013,0.92,0,,,,,
0.187,551.6512,0.187,1.492985,0.935,0,,,,,
0.19,551.355,0.19,1.492959,0.95,0,,,,,
0.193,551.1,0.193,1.492949,0.965,0,,,,,
0.196,550.8762,0.196,1.492963,0.98,0,,,,,
0.199,550.6813,0.199,1.492982,0.995,0,,,,,
0.202,550.5692,0.202,1.493002,1.01,0,,,,,
0.205,550.3898,0.205,1.493019,1.025,0,,,,,
0.208,550.2053,0.208,1.493001,1.04,0,,,,,
0.211,550.0557,0.211,1.49301,1.055,0,,,,,
0.214,549.9501,0.214,1.493021,1.07,0,,,,,
0.217,549.8323,0.217,1.49302,1.085,0,,,,,
0.22,549.665,0.22,1.493011,1.1,0,,,,,
0.223,549.4378,0.223,1.493027,1.115,0,,,,,
0.226,549.351,0.226,1.493038,1.13,0,,,,,
0.229,549.2747,0.229,1.49303,1.145,0,,,,,
0.232,549.2115,0.232,1.493014,1.16,0,,,,,
0.235,549.1583,0.235,1.492986,1.175,0,,,,,
0.238,549.0427,0.238,1.492962,1.19,0,,,,,
0.241,548.999,0.241,1.492945,1.205,0,,,,,
0.244,548.9655,0.244,1.492905,1.22,0,,,,,
0.247,548.9037,0.247,1.492905,1.235,0,,,,,
0.25,548.8043,0.25,1.492903,1.25,0,,,,,
0.253,548.7891,0.253,1.492879,1.265,0,,,,,
0.256,548.8347,0.256,1.492888,1.28,0,,,,,
0.259,548.918,0.259,1.492892,1.295,0,,,,,
0.262,548.9153,0.262,1.492891,1.31,0,,,,,
0.265,548.9942,0.265,1.492886,1.325,0,,,,,
0.268,549.0561,0.268,1.492875,1.34,0,,,,,
0.271,549.0579,0.271,1.492911,1.355,0,,,,,
0.274,549.1781,0.274,1.492938,1.37,0,,,,,
0.277,549.3517,0.277,1.492924,1.385,0,,,,,
0.28,549.475,0.28,1.492888,1.4,0,,,,,
0.283,549.5007,0.283,1.492862,1.415,0,,,,,
0.286,549.6319,0.286,1.492843,1.43,0,,,,,
0.289,549.8251,0.289,1.492833,1.445,0,,,,,
0.292,549.9921,0.292,1.492846,1.46,0,,,,,
0.295,550.0891,0.295,1.492851,1.475,0,,,,,
0.298,550.2301,0.298,1.492846,1.49,0,,,,,
0.301,550.3643,0.301,1.49283,1.505,0,,,,,
0.304,550.508,0.304,1.492806,1.52,0,,,,,
0.307,550.6678,0.307,1.492784,1.535,0,,,,,
0.31,550.8037,0.31,1.49276,1.55,0,,,,,
0.313,550.9159,0.313,1.49273,1.565,0,,,,,
0.316,551.0804,0.316,1.492681,1.58,0,,,,,
0.319,551.3321,0.319,1.492636,1.595,0,,,,,
0.322,551.5366,0.322,1.49261,1.61,0,,,,,
0.325,551.7054,0.325,1.492613,1.625,0,,,,,
0.328,551.8392,0.328,1.49265,1.64,0,,,,,
0.331,551.944,0.331,1.492672,1.655,0,,,,,
0.334,552.1082,0.334,1.492684,1.67,0,,,,,
0.337,552.3793,0.337,1.492688,1.685,0,,,,,
0.34,552.5905,0.34,1.492662,1.7,0,,,,,
0.343,552.6682,0.343,1.492629,1.715,0,,,,,
